Area_desc,full_name
SCIENZE BIOLOGICHE ,Daniela Trisciuoglio
SCIENZE BIOLOGICHE ,Serena  Sanna
SCIENZE BIOLOGICHE ,Francesca  Cavalcanti
 SCIENZE MATEMATICHE E INFORMATICHE ,Paolo  Barsocchi
SCIENZE BIOLOGICHE ,Antonino Colanzi
SCIENZE MEDICHE,Maria Grazia Andreassi
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Alessandro  Leone
SCIENZE FISICHE ,Lorenzo Clemente Spinelli
SCIENZE BIOLOGICHE ,Alessandro  Sale
 SCIENZE MATEMATICHE E INFORMATICHE ,Marco  Sacco
"SCIENZE DELL’ANTICHITÀ, FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE ",Vito  Pirrelli
SCIENZE ECONOMICHE E STATISTICHE ,Giuseppe Pio Dachille
SCIENZE ECONOMICHE E STATISTICHE ,Monica Pia Cecilia Paiella
 SCIENZE MATEMATICHE E INFORMATICHE ,Diego  Pieroni
SCIENZE ECONOMICHE E STATISTICHE ,Francesco Maura
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Guido  Alessandri
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Alessio Tamburrano
SCIENZE BIOLOGICHE ,Gabriella  Minchiotti
SCIENZE POLITICHE E SOCIALI ,Mattia Vitiello
SCIENZE MEDICHE,Maddalena Illario
SCIENZE FISICHE ,Luca  Francioso
SCIENZE ECONOMICHE E STATISTICHE ,Greta  Falavigna
SCIENZE ECONOMICHE E STATISTICHE ,Luisa  Errichiello
SCIENZE MEDICHE,Veronica De Rosa
SCIENZE BIOLOGICHE ,Fabrizio D'Adda di Fagagna
SCIENZE BIOLOGICHE ,Marcello Melone
SCIENZE POLITICHE E SOCIALI ,Antonella Golino
SCIENZE POLITICHE E SOCIALI ,Andrea Principi
SCIENZE ECONOMICHE E STATISTICHE ,Elisabetta Barbi
SCIENZE ECONOMICHE E STATISTICHE ,Asya Bellia
SCIENZE POLITICHE E SOCIALI ,Cristina Gagliardi
SCIENZE GIURIDICHE ,CLAUDIA MORGANA CASCIONE
SCIENZE POLITICHE E SOCIALI ,Giovanni Lamura
SCIENZE MEDICHE,Fabrizia Lattanzio 
 SCIENZE MATEMATICHE E INFORMATICHE ,Valentina Ricci 
SCIENZE ECONOMICHE E STATISTICHE ,Irene Mammi
SCIENZE ECONOMICHE E STATISTICHE ,Valeria Maggian
SCIENZE GIURIDICHE ,Claudia Irti 
SCIENZE MEDICHE,Paolo Villari
SCIENZE MEDICHE,Antonio Domenico Procopio
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Lorena Rossi
SCIENZE MEDICHE,Giuseppe Pugliese
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",GIUSEPPE RIVA 
SCIENZE ECONOMICHE E STATISTICHE ,Gloria  Moroni 
SCIENZE MEDICHE,Andrea Corsonello
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,MARIO ALESSANDRO BOCHICCHIO
SCIENZE MEDICHE,Nicola Baldini
SCIENZE MEDICHE,Anita De Rossi
SCIENZE MEDICHE,Antonio   Cherubini
SCIENZE POLITICHE E SOCIALI ,Maria Gabriellla Melchiorre
SCIENZE MEDICHE,Fabiola Olivieri
SCIENZE MEDICHE,EMANUELE MARZETTI 
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Anna Maria Borghi Borghi
INGEGNERIA CIVILE E ARCHITETTURA ,Maria Argenti
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Febo Cincotti
SCIENZE GIURIDICHE ,Rosa Casillo
SCIENZE BIOLOGICHE ,Cristina Giuliani
SCIENZE MEDICHE,Carlos Juan Chiatti
SCIENZE ECONOMICHE E STATISTICHE ,Fabio Viviano
SCIENZE POLITICHE E SOCIALI ,Sara Santini
SCIENZE ECONOMICHE E STATISTICHE ,Cinzia Conti
SCIENZE ECONOMICHE E STATISTICHE ,Cinzia Castagnaro
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Rabih Chattat
SCIENZE POLITICHE E SOCIALI ,CARMINE CLEMENTE
SCIENZE BIOLOGICHE ,Luigi Bubacco
