keywords_en
"statistical models, public health, FARSI approach, science communication"
"Monte Carlo, estimation, functions, expectations"
"eXplainable AI, word embeddings, survey"
"Spatio-temporal, Modelling, Cross-Sectional, Data"
"topic modelling, latent space, clustering"
"age-friendliness, Italian cities, quantitative assessment, happiness"
"osteoporosis, pregnancy, lactation, management"
"Bayesian, heterogeneity, health surveys, temporal"
"Posterior Inference, Spatio-temporal Modelling, Cross-Sectional Data"
"disease, prevalence, Bayesian model, external validation"
"morbidity, spatio-temporal changes, Italian population"
"Bayesian clustering, topic modelling, latent, machine learning"
"Down syndrome, caregivers, pediatric, survey"
"Living Environments, Knowledge, Decision Support, Age-It"
"ontologies, reconfiguration, domestic environments, literature review"
"lattice-based, pricing, derivatives, fractional Brownian motion"
"binomial discretizations, skew Brownian motions, option pricing"
"Smart Waiting Room, Literature Review, Proposal"
"social heterogeneity, informal caregiving, older individuals, social withdrawal"
"social stratification, informal caregivers, older individuals, time-use"
"inequality, sociology, care, demand"
"higher education, socioeconomic factors, high schools, degree programs"
"lattice-based, life insurance, pricing, stochastic correlation"
"fair assessments, insurance policies, risk factors, lattice approach"
"bioactive topographies, cell behavior, thermally patterned, polycaprolactone"
"Stability Constants, Coumarin Derivatives, Pb (II), Aqueous Media"
"laccasi, microbici, industriali, applicazioni"
"transformations, society, institutions, technology"
"transformations, contemporary society, institutions, technology"
"spectrophotometric assay, diformylfuran, laccase, oxidation"
"collagen, leather wastes, low quality leather, enhancement"
"laccases, Pleurotus ostreatus, furfuryl alcohol, polimeri"
"Antarctic, bacterium, Pseudoalteromonas, TAC125"
"leather wastes, bio-based, finishing systems, manufacturing"
"Leather Wastes, Bio-Based, Finishing Systems, Manufacturing"
"Iron complexes, Flavanones, Citrus fruits, Antioxidant properties"
"ophtalmic preparations, photo-crosslinking, reactions"
"Healthcare, Occupational Welfare, Italian SMEs"
"occupational welfare, Italian SMEs, new aspect"
"Nexus, complessità, sguardi"
"reorganization, workspaces, Italian SMEs, COVID-19"
"Nexus complexus, complessità, sguardi, volume 2"
"Nexus complexus, complessità, sguardi"
"corporate ethics, sustainability, reporting"
"migrants, Italy, regularization, Covid-19"
"digitization, welfare services, Italian SMEs"
"working-class, smart working, PMI, caso studio"
"Olivettian model, CSR, organizational theory"
"Flexible Work, grandi imprese, Covid-19, arrangement"
"digitalization, employment welfare, COVID-19, Italia"
"occupational welfare, corporate ethics, Italy, case studies"
"evolutionary determinants, ecological determinants, human longevity"
"social disparities, income, mortality, elderly"
"neutrophil, secretome, palbociclib, senescence"
"prion protein, calcium ions, neurotoxicity, α-synuclein"
"robotic-assisted, rehabilitation, post-stroke, shoulder pain"
"Radar, Activity Recognition, Privacy, Deep Learning"
"future-proof, homes, design support, age-adaptive"
"grip strength, evaluation methods, aged mice"
"choroid plexus, gut dysbiosis, Klotho, intervention strategies"
"anti-aging, geriatric mice, treatment timing, benefits limitations"
"structure, toxicity, α-Synuclein, fibrils"
"discorso civile, social media, spinte, interventi"
"fake news, real news, accuracy, sharing"
"social psychology, moral psychology, COVID-19, countries"
"modularity, customization, home, furniture"
"trustworthiness, false news, sharing intentions, news source"
"social value orientation, conditional cooperation, public goods, online game"
"COVID-19, machine learning, attitudinal responses, behavioral responses"
"national identity, public health, pandemic, support"
"modularity, customization, home care, furnishings"
"home adaptation, Home Care, safety, assessment"
"emigration, retirees, Italian case, retirees"
"pensioners, aging, choice, necessity"
"inclusive design, public space, safety, post-covid"
"Home, Healthcare"
"inclusive design, active design, public space, safety"
"supply and demand, research, services, community"
"Access City Award, inclusive cities, accessible solutions, actions"
"marine compounds, age-related diseases, cardiovascular diseases, diabetes"
"cellular senescence, frailty, causal links"
"female genital mutilation, migrant women, Italy, intergenerational risk"
"aging societies, justice, challenges"
"female genital mutilation, migrant women, Italy, medical support"
"migration, health, Italy, challenges"
"halting, process"
"empowerment, migration, health"
"generational sovereignty, constitution, rights, justice"
"Mercury Intake, Trieste, Hair Assessment, Food Frequency Questionnaire"
"job performance, work from home, social isolation, emotional stability"
"empathy, problems"
"self-efficacy, job performance, career advancements, longitudinal relationships"
"time allocation, well-being, adult life, Italia"
"psychological capital, direct measures, indirect measures"
"cognitive reflection, response times, deliberation, time pressure"
"Aging, Transnational Mobility, Italian Retirees"
"Empathy, Future generations, Regulation"
"InteLLExo, exoskeletons, framework, intelligent"
"sustainable, cable-driven, hip exoskeleton, design"
"bodily expressions, gestalts, direct perception, theories"
"empathy, generations, future"
"political community, obligations, motivations, Covid-19"
"compliance, preventive behaviours, Covid-19, attitudes"
"empathy, regulated, challenges, public"
"EEG, modello computazionale, personalità, stress sociale"
"EEG, fatigue, personality traits, cognitive load"
"Wearable Sensors, Biomarkers, Personality Traits, Healthy Aging"
"Anxiety, EEG, Theta-Beta Ratio, Personality Traits"
"ClpP, metabolic vulnerability, immunogenic trigger, multiple myeloma"
