title,keywords
Communicating complex statistical models to a public health audience: translating science into action with the FARSI approach,"statistical models, public health, FARSI approach, science communication"
Towards a turnkey approach for unbiased Monte Carlo estimation of smooth functions of expectations,"Monte Carlo, stima, funzioni, aspettative"
eXplainable AI for word embeddings: A survey,"eXplainable AI, word embeddings, survey"
for Spatio-temporal Modelling of Repeated Cross-Sectional Data,"Spatio-temporal, Modelling, Cross-Sectional, Data"
Addressing topic modelling via reduced latent space clustering,"topic modelling, latent space, clustering"
Where to age happily: a quantitative assessment of Age-Friendliness in the districts of three Italian cities,"age-friendliness, Italian cities, quantitative assessment, happiness"
Pregnancy and Lactation-Associated Osteoporosis: Combined Pharmacological and Rehabilitative Management,"osteoporosis, pregnancy, lactation, management"
A Bayesian approach to model local and temporal heterogeneity in repeated cross-sectional health surveys,"Bayesian, heterogeneity, health surveys, temporal"
Efficient Posterior Inference for Spatio-temporal Modelling of Repeated Cross-Sectional Data,"Posterior Inference, Spatio-temporal Modelling, Cross-Sectional Data"
Exploring Disease Prevalence in Italy: A Web Application Utilizing Sample-Based Predictions from a Bayesian Spatio-Temporal Model with External Validation,"malattia, prevalenza, modello bayesiano, validazione esterna"
Determinants and spatio-temporal changes in morbidity curves of Italian population,"morbidity, cambiamenti spatio-temporali, popolazione italiana"
Latent Bayesian clustering for topic modelling,"Bayesian clustering, topic modelling, latent, machine learning"
The impact of Down syndrome on patients’ caregivers: a survey of an Italian paediatric cohort,"Down syndrome, caregivers, pediatric, survey"
Reconfiguring and Customizing Living Environments with Knowledge: The Age-It Decision Support System,"Living Environments, Knowledge, Decision Support, Age-It"
Ontologies for the Reconfiguration of Domestic Living Environments: A Systematic Literature Review,"ontologies, reconfiguration, domestic environments, literature review"
A lattice-based algorithm for pricing derivatives in a fractional Brownian motion framework: M. Costabile et al.,"lattice-based, pricing, derivatives, fractional Brownian motion"
On binomial discretizations of correlated skew Brownian motions: applications to option pricing,"binomial discretizations, skew Brownian motions, option pricing"
Smart Waiting Room: A Systematic Literature Review and a Proposal,"Smart Waiting Room, Literature Review, Proposal"
Social Heterogeneity in the Effect of Informal Caregiving for Older Individuals on Social Withdrawal,"social heterogeneity, informal caregiving, older individuals, social withdrawal"
SOCIAL STRATIFICATION IN THE TIME-USE OF INFORMAL CAREGIVERS FOR OLDER INDIVIDUALS,"social stratification, informal caregivers, older individuals, time-use"
La prospettiva sociologica. La disuguaglianza socio-economica nella domanda di cura,"disuguaglianza, sociologia, cura, domanda"
"Exploring the impact of high schools, socioeconomic factors, and degree programs on higher education success in Italy","istruzione superiore, fattori socioeconomici, scuole superiori, programmi di laurea"
A lattice-based approach for life insurance pricing in a stochastic correlation framework,"lattice-based, life insurance, pricing, stochastic correlation"
Fair valuations of insurance policies under multiple risk factors: A flexible lattice approach,"valutazioni eque, polizze assicurative, fattori di rischio, approccio lattice"
Bioactive Topographies: Shaping Cell Behavior with Thermally Patterned Poly (ε-caprolactone),"bioactive topographies, cell behavior, thermally patterned, polycaprolactone"
Insights on Stability Constants and Structures of Complexes between Coumarin Derivatives and Pb (II) in Aqueous Media,"Stability Constants, Coumarin Derivatives, Pb (II), Aqueous Media"
Versatility of microbial laccases in industrial applications,"laccases, microbial, industrial, applications"
"Trasformazioni e intersezioni nella società contemporanea. Persone, Istituzioni, Ambiente e Tecnologia (Tomo 1)","trasformazioni, società, istituzioni, tecnologia"
"Trasformazioni e intersezioni nella società contemporanea: persone, istituzioni, ambiente e tecnologia: volume 2","trasformazioni, società contemporanea, istituzioni, tecnologia"
